Name;Position;Age;Height_i;Weight;Salary;Points;Rebounds;Assists
Jordan Bell;F;26;6.8;216;;2.5;4.0;1.2
Nemanja Bjelica;PF;33;6.1;234;1669178.0;6.5;3.4;1.9
Chris Chiozza;F;25;5.11;175;;4.0;1.1;3.0
Stephen Curry;PG;33;6.3;185;45780966.0;32.0;5.5;5.8
Draymond Green;PF;31;6.6;230;24026712.0;7.0;7.1;8.9
Andre Iguodala;F;37;6.6;215;1669178.0;4.4;3.5;2.3
Jonathan Kuminga;PF;18;6.7;225;5466360.0;;;
Damion Lee;SG;28;6.5;210;1910860.0;6.5;3.2;1.3
Kevon Looney;C;25;6.9;222;5178572.0;4.1;5.3;2.0
Nico Mannion;PG;20;6.2;190;;4.1;1.5;2.3
Moses Moody;SG;19;6.5;211;3562200.0;;;
Mychal Mulder;SG;27;6.3;184;1782621.0;5.6;1.0;0.4
Gary Payton II;PG;28;6.3;195;1977011.0;2.5;1.1;0.1
Jordan Poole;SG;22;6.4;194;2161440.0;12.0;1.8;1.9
Otto Porter Jr.;SF;28;6.8;198;1669178.0;9.7;5.4;2.0
Klay Thompson;SG;31;6.6;215;37980720.0;;;
Juan Toscano-Anderson;SF;28;6.6;209;1701593.0;5.7;4.4;2.8
Andrew Wiggins;SF;26;6.7;197;31579390.0;18.6;4.9;2.4
James Wiseman;C;20;7.0;240;9166800.0;11.5;5.8;0.7
Nicolas Batum;PF;32;6.8;230;3170029.0;8.1;4.7;2.2
Eric Bledsoe;SG;31;6.1;214;18125000.0;12.2;3.4;3.8
Amir Coffey;SG;24;6.7;210;;3.2;1.0;0.5
DeMarcus Cousins;C;31;6.1;270;;8.9;6.4;1.9
Yogi Ferrell;PG;28;6.0;178;1782621.0;5.6;1.9;2.2
Paul George;SG;31;6.8;220;39344900.0;23.3;6.6;5.2
Serge Ibaka;C;31;6.1;235;9720900.0;11.1;6.7;1.8
Reggie Jackson;PG;31;6.2;208;10384500.0;10.7;2.9;3.1
